articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
7-3-2015_PS,836,813,median,2.751196172248804,MINOR_ERROR,NA
7-3-2015_PS,689,665,median,3.483309143686502,MINOR_ERROR,NA
7-3-2015_PS,0.79,0.79,mean,0,MATCH,NA
7-3-2015_PS,0.92,0.91,mean,1.0869565217391313,MINOR_ERROR,NA
7-3-2015_PS,871,908,mean,4.247990815154994,MINOR_ERROR,NA
7-3-2015_PS,819,883,mean,7.814407814407814,MINOR_ERROR,NA
7-3-2015_PS,0.789,0.799,mean,1.267427122940432,MINOR_ERROR,NA
7-3-2015_PS,0.788,0.78,mean,1.01522842639594,MINOR_ERROR,NA
7-3-2015_PS,<.01,0.38467908080236135,p,NA,EYEBALL_ERROR,FALSE
7-3-2015_PS,19.5,-32.8,ci,268.2051282051282,MAJOR_ERROR,NA
7-3-2015_PS,84.4,81.5,ci,3.436018957345978,MINOR_ERROR,NA
7-3-2015_PS,20,20,df,0,MATCH,NA
7-3-2015_PS,3.34,0.89,t,73.35329341317365,MAJOR_ERROR,NA
7-3-2015_PS,0.8,0.3,p,62.5,MAJOR_ERROR,NA
